code_fase,name
1336,INSTITUT SAINT-CHARLES                                                                                                                                                                                                                                    
1337,INSTITUT COMMUNAL D'ENSEIGNEMENT TECHNIQUE                                                                                                                                                                                                                
1339,ATHENEE ROYAL MOUSCRON                                                                                                                                                                                                                                    
1340,COLLEGE SAINTE-MARIE                                                                                                                                                                                                                                      
1341,COLLEGE SAINTE-MARIE D.O.A.                                                                                                                                                                                                                               
1342,INSTITUT DU SACRE-COEUR                                                                                                                                                                                                                                   
1344,COLLEGE TECHNIQUE SAINT-HENRI (2 E ET 3 E DEGRES)                                                                                                                                                                                                         
1347,INSTITUT DES FRERES MARISTES                                                                                                                                                                                                                              
1352,COLLEGE D'ENSEIGNEMENT TECHNIQUE SAINT-HENRI (1ER DEGRE)                                                                                                                                                                                                  
1360,ATHENEE ROYAL DE BRAINE-LE-COMTE                                                                                                                                                                                                                          
1361,INSTITUT TECHNIQUE SAINT-GABRIEL                                                                                                                                                                                                                          
1363,INSTITUT NOTRE-DAME DE BONNE-ESPERANCE                                                                                                                                                                                                                    
1371,ATHENEE ROYAL D'ENGHIEN                                                                                                                                                                                                                                   
1372,MAISON SAINT-AUGUSTIN (DOA)                                                                                                                                                                                                                               
1373,COLLEGE SAINT-AUGUSTIN                                                                                                                                                                                                                                    
1374,INSTITUT SAINT-AUGUSTIN                                                                                                                                                                                                                                   
1411,ATHENEE ROYAL LA LOUVIERE                                                                                                                                                                                                                                 
1414,INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE LEON HUREZ                                                                                                                                                                                                  
1415,INSTITUT TECHNIQUE SAINT-JOSEPH (D2-D3)                                                                                                                                                                                                                   
1416,INSTITUT SAINT-JOSEPH (D2-D3)
1417,LYCEE TECHNIQUE PROVINCIAL MAURICE HERLEMONT                                                                                                                                                                                                              
1418,INSTITUT SAINTE-MARIE                                                                                                                                                                                                                                     
1419,ATHENEE PROVINCIAL                                                                                                                                                                                                                                        
1429,INSTITUT SAINT-JOSEPH D.O.A.
1432,INSTITUT PROVINCIAL DE NURSING DU CENTRE
1440,ATHENEE ROYAL RENE MAGRITTE                                                                                                                                                                                                                               
1441,COLLEGE VISITATION - LA BERLIERE                                                                                                                                                                                                                          
1464,ATHENEE ROYAL JULES BORDET                                                                                                                                                                                                                                
1465,ECOLE DU SHAPE SECTION BELGE                                                                                                                                                                                                                              
1467,COLLEGE SAINT-VINCENT (D2-D3)                                                                                                                                                                                                                             
1468,COLLEGE SAINT-VINCENT DOA                                                                                                                                                                                                                                 
1469,LYCEE PROVINCIAL DES SCIENCES ET DES TECHNOLOGIES                                                                                                                                                                                                         
1475,INSTITUT TECHNIQUE SAINT-VINCENT                                                                                                                                                                                                                          
1493,ATHENEE ROYAL BEAUMONT                                                                                                                                                                                                                                    
1494,INSTITUT PARIDAENS
1506,ATHENEE ROYAL DE BINCHE                                                                                                                                                                                                                                   
1507,COLLEGE NOTRE-DAME DE BON SECOURS                                                                                                                                                                                                                         
1508,INSTITUT PROVINCIAL D'ENSEIGNEMENT CHARLES DELIEGE                                                                                                                                                                                                        
1525,ATHENEE ROYAL DE CHIMAY                                                                                                                                                                                                                                   
1526,COLLEGE SAINT-JOSEPH                                                                                                                                                                                                                                      
1527,INSTITUT NOTRE-DAME                                                                                                                                                                                                                                       
1538,INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE                                                                                                                                                                                                             
1540,ECOLE D'ARTS ET METIERS                                                                                                                                                                                                                                   
1569,ATHENEE ROYAL THUIN                                                                                                                                                                                                                                       
1570,INSTITUT NOTRE-DAME                                                                                                                                                                                                                                       
1579,SEMINAIRE DE BONNE-ESPERANCE                                                                                                                                                                                                                              
1594,ATHENEE PROV. MIXTE WAROCQUE                                                                                                                                                                                                                              
1595,INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE                                                                                                                                                                                                             
1606,INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE DAVID LACHMAN                                                                                                                                                                                               
1635,ATHENEE ROYAL PERUWELZ
1636,INSTITUT SAINT-CHARLES                                                                                                                                                                                                                                    
1688,COLLEGE NOTRE-DAME DE LA TOMBE                                                                                                                                                                                                                            
1689,INSTITUT DE LA SAINTE-UNION                                                                                                                                                                                                                               
1695,INSTITUT SAINT-ANDRE                                                                                                                                                                                                                                      
1696,ATHENEE ROYAL JULES BARA                                                                                                                                                                                                                                  
1697,ATHENEE ROYAL ROBERT CAMPIN                                                                                                                                                                                                                               
1698,COLLEGE NOTRE-DAME                                                                                                                                                                                                                                        
1699,INSTITUT DES URSULINES - LA MADELEINE
1703,INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE DU VAL D'ESCAUT                                                                                                                                                                                             
1705,INSTITUT TECHNIQUE DES METIERS DE L'ALIMENTATION                                                                                                                                                                                                          
1706,CENTRE EDUCATIF DE LA SAINTE-UNION                                                                                                                                                                                                                        
1708,INSTITUT D'ENSEIGNEMENT SECONDAIRE PROVINCIAL PARAMEDICAL                                                                                                                                                                                                 
1709,INSTITUT NOTRE-DAME                                                                                                                                                                                                                                       
1711,INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE                                                                                                                                                                                                             
1735,INSTITUT D'ENSEIGNEMENT TECHNIQUE SAINT-ELOI                                                                                                                                                                                                              
1736,ATHENEE PROVINCIAL                                                                                                                                                                                                                                        
